Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,SMA_50,Signal,Strategy_Returns,Cumulative_Returns
2020-04-13,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.45800018310547,131022800,54.47996240694007,-0.813642001297282,-2.064846912833345,68.56466026008115,62.55337505340576,56.542089846730356,3.3400155054753156,70.26939971923828,-1,-0.01962763520019828,1.0450666057267386
2020-04-14,70.0,72.0625,69.51249694824219,71.76249694824219,69.81431579589844,194994800,59.2530675279714,-0.1929503579801377,-1.6904676018627036,70.25808899753007,63.11387481689453,55.969660636258986,3.3693001122270787,70.157099609375,0,-0.051503157522300946,0.991242375710698
2020-04-15,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,69.1771011352539,131154400,58.00940300357676,0.24329476317036836,-1.3037151288560893,71.4579926953556,63.508499717712404,55.55900674006921,3.243278370463649,70.03594955444336,0,-0.0,0.991242375710698
2020-04-16,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,69.72679138183594,157125200,58.81247162317108,0.6273810811848364,-0.9174958868479043,72.66009440207876,64.00874977111816,55.35740514015757,3.116080024421882,69.87514953613281,0,0.0,0.991242375710698
2020-04-17,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,68.78067016601562,215250000,56.79890423646534,0.8435751284503112,-0.5652816837882613,73.50139582418024,64.48399963378907,55.466603443397894,3.0736819308108325,69.6818994140625,0,-0.0,0.991242375710698
2020-04-20,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,67.35301971435547,130015200,53.80530916581682,0.8862791075497114,-0.2749695255206667,73.6887464431676,65.08012447357177,56.47150250397594,2.9603828944931503,69.44049942016602,-1,-0.001,0.9902511333349873
2020-04-21,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,65.27110290527344,180991600,49.69227285953928,0.7389243921992374,-0.0721907419766859,73.21648191048435,65.63012447357178,58.04376703665922,2.9599985328189744,69.18219940185547,-1,0.03091033035419699,1.0208601229999896
2020-04-22,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,67.1511459350586,116862400,53.1734097435754,0.7692145136069684,0.09609030914004495,73.49646868471585,65.99537448883056,58.49428029294528,2.918748615819349,68.95494949340821,0,-0.029803558993071078,0.9904348581004856
2020-04-23,68.96749877929688,70.4375,68.71749877929688,68.75749969482422,66.89091491699219,124814400,52.63051535920713,0.7628409354393568,0.22944043439990733,73.64351257270152,66.36424942016602,59.08498626763052,2.833123801882476,68.73204956054687,0,-0.0,0.9904348581004856
2020-04-24,69.30000305175781,70.75250244140625,69.25,70.74250030517578,68.822021484375,126161200,56.2038625743604,0.9075016743339148,0.36505268238670885,74.14281758615945,66.67087440490722,59.198931223655,2.7732580122181583,68.51089950561523,0,0.0,0.9904348581004856
2020-04-27,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,68.87067413330078,117087600,56.293305309581534,1.0144868080885914,0.4949395075270854,74.45930924173207,67.11374950408936,59.76818976644664,2.657132374522051,68.30239959716796,0,0.0,0.9904348581004856
2020-04-28,71.2699966430664,71.4574966430664,69.55000305175781,69.6449966430664,67.75431823730469,112004800,53.58856960148583,0.9952069692336067,0.5949929998683897,74.66058002080375,67.41087436676025,60.16116871271676,2.6035867471496608,68.07054946899414,0,-0.0,0.9904348581004856
2020-04-29,71.18250274658203,72.4175033569336,70.97250366210938,71.93250274658203,69.9797134399414,137280800,57.92818320206439,1.151239411787401,0.706242282252192,75.10910355683842,67.8288745880127,60.54864561918697,2.6156524590580554,67.91419952392579,0,0.0,0.9904348581004856
